Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
46,-0.5684,15.2732,0.09051,11.9,12.9,14.0,15.3,16.8,18.5,20.5
47,-0.5684,15.2661,0.0911,11.8,12.8,14.0,15.3,16.8,18.5,20.5
48,-0.5684,15.2602,0.09168,11.8,12.8,14.0,15.3,16.8,18.5,20.6
49,-0.5684,15.2556,0.09227,11.8,12.8,13.9,15.3,16.8,18.5,20.6
50,-0.5684,15.2523,0.09286,11.8,12.8,13.9,15.3,16.8,18.6,20.7
51,-0.5684,15.2503,0.09345,11.8,12.8,13.9,15.3,16.8,18.6,20.7
52,-0.5684,15.2496,0.09403,11.7,12.8,13.9,15.2,16.8,18.6,20.7
53,-0.5684,15.2502,0.0946,11.7,12.7,13.9,15.3,16.8,18.6,20.8
54,-0.5684,15.2519,0.09515,11.7,12.7,13.9,15.3,16.8,18.7,20.8
55,-0.5684,15.2544,0.09568,11.7,12.7,13.9,15.3,16.8,18.7,20.9
56,-0.5684,15.2575,0.09618,11.7,12.7,13.9,15.3,16.8,18.7,20.9
57,-0.5684,15.2612,0.09665,11.7,12.7,13.9,15.3,16.9,18.7,21.0
58,-0.5684,15.2653,0.09709,11.7,12.7,13.9,15.3,16.9,18.8,21.0
59,-0.5684,15.2698,0.0975,11.6,12.7,13.9,15.3,16.9,18.8,21.0
60,-0.5684,15.2747,0.09789,11.6,12.7,13.9,15.3,16.9,18.8,21.1
